accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename
0001401521-13-000044,1401521,UNITED INSURANCE HOLDINGS CORP. (ACIC) (CIK 0001401521),ACIC,EXHIBIT,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/1401521/000140152113000044/exh105perriskreinsuranceco.htm,2013-08-08,2013-1401521-0001401521-13-000044-exh105perriskreinsuranceco.htm
0001140361-13-040889,1069996,FEDERATED NATIONAL HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.4,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1069996/000114036113040889/ex10_4.htm,2013-11-06,2013-1069996-0001140361-13-040889-ex10_4.htm
0001140361-13-040889,1069996,FEDERATED NATIONAL HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1069996/000114036113040889/ex10_2.htm,2013-11-06,2013-1069996-0001140361-13-040889-ex10_2.htm
0001140361-13-040889,1069996,FEDERATED NATIONAL HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1069996/000114036113040889/ex10_1.htm,2013-11-06,2013-1069996-0001140361-13-040889-ex10_1.htm
0001140361-13-032551,1069996,FEDERATED NATIONAL HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1069996/000114036113032551/ex10_3.htm,2013-08-14,2013-1069996-0001140361-13-032551-ex10_3.htm
0001140361-13-040889,1069996,FEDERATED NATIONAL HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1069996/000114036113040889/ex10_3.htm,2013-11-06,2013-1069996-0001140361-13-040889-ex10_3.htm
0001193125-13-324187,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,REINSTATEMENT PREMIUM PROTECTION AGREEMENT,10-Q,EX-10.44,https://www.sec.gov/Archives/edgar/data/1400810/000119312513324187/d542622dex1044.htm,2013-08-07,2013-1400810-0001193125-13-324187-d542622dex1044.htm
0001140361-13-032551,1069996,FEDERATED NATIONAL HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1069996/000114036113032551/ex10_1.htm,2013-08-14,2013-1069996-0001140361-13-032551-ex10_1.htm
0001140361-13-032551,1069996,FEDERATED NATIONAL HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1069996/000114036113032551/ex10_2.htm,2013-08-14,2013-1069996-0001140361-13-032551-ex10_2.htm
0001193125-13-094153,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,EX-10.26,10-K,EX-10.26,https://www.sec.gov/Archives/edgar/data/1018979/000119312513094153/d444462dex1026.htm,2013-03-06,2013-1018979-0001193125-13-094153-d444462dex1026.htm
0001193125-13-324187,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,CATASTROPHE AGGREGATE EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.23,https://www.sec.gov/Archives/edgar/data/1400810/000119312513324187/d542622dex1023.htm,2013-08-07,2013-1400810-0001193125-13-324187-d542622dex1023.htm
0001193125-13-324187,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,CATASTROPHE EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.25,https://www.sec.gov/Archives/edgar/data/1400810/000119312513324187/d542622dex1025.htm,2013-08-07,2013-1400810-0001193125-13-324187-d542622dex1025.htm
0001193125-13-324187,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,CATASTROPHE EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.43,https://www.sec.gov/Archives/edgar/data/1400810/000119312513324187/d542622dex1043.htm,2013-08-07,2013-1400810-0001193125-13-324187-d542622dex1043.htm
0001193125-13-324187,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,CATASTROPHE AGGREGATE EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.10,https://www.sec.gov/Archives/edgar/data/1400810/000119312513324187/d542622dex1010.htm,2013-08-07,2013-1400810-0001193125-13-324187-d542622dex1010.htm
0000701869-13-000040,701869,INDEPENDENCE HOLDING CO (CIK 0000701869),,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/701869/000070186913000040/ihc2q2013_ex10z1.htm,2013-08-08,2013-701869-0000701869-13-000040-ihc2q2013_ex10z1.htm
0000701869-13-000040,701869,INDEPENDENCE HOLDING CO (CIK 0000701869),,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/701869/000070186913000040/ihc2q2013_ex10z1.pdf,2013-08-08,2013-701869-0000701869-13-000040-ihc2q2013_ex10z1.pdf
0000701869-13-000040,701869,INDEPENDENCE HOLDING CO (CIK 0000701869),,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/701869/000070186913000040/ihc2q2013_ex10z2.htm,2013-08-08,2013-701869-0000701869-13-000040-ihc2q2013_ex10z2.htm
0000701869-13-000040,701869,INDEPENDENCE HOLDING CO (CIK 0000701869),,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/701869/000070186913000040/ihc2q2013_ex10z2.pdf,2013-08-08,2013-701869-0000701869-13-000040-ihc2q2013_ex10z2.pdf
0001193125-13-334884,1282543,AFFIRMATIVE INSURANCE HOLDINGS INC (CIK 0001282543),,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1282543/000119312513334884/d554356dex101.htm,2013-08-14,2013-1282543-0001193125-13-334884-d554356dex101.htm
0001193125-13-136843,1282543,AFFIRMATIVE INSURANCE HOLDINGS INC (CIK 0001282543),,EX-10.16,10-K,EX-10.16,https://www.sec.gov/Archives/edgar/data/1282543/000119312513136843/d466112dex1016.htm,2013-04-01,2013-1282543-0001193125-13-136843-d466112dex1016.htm
0001193125-13-136843,1282543,AFFIRMATIVE INSURANCE HOLDINGS INC (CIK 0001282543),,EX-10.15,10-K,EX-10.15,https://www.sec.gov/Archives/edgar/data/1282543/000119312513136843/d466112dex1015.htm,2013-04-01,2013-1282543-0001193125-13-136843-d466112dex1015.htm
0001193125-13-136843,1282543,AFFIRMATIVE INSURANCE HOLDINGS INC (CIK 0001282543),,EX-10.17,10-K,EX-10.17,https://www.sec.gov/Archives/edgar/data/1282543/000119312513136843/d466112dex1017.htm,2013-04-01,2013-1282543-0001193125-13-136843-d466112dex1017.htm
