accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename
0001691421-23-000095,1691421,"Lemonade, Inc. (LMND, LMND-WT) (CIK 0001691421)",LMND,EX-10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1691421/000169142123000095/exhibit102-propertyperrisk.htm,2023-08-04,2023-1691421-0001691421-23-000095-exhibit102-propertyperrisk.htm
0000950170-23-040540,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.33,10-Q,EX-10.33,https://www.sec.gov/Archives/edgar/data/1400810/000095017023040540/hci-ex10_33.htm,2023-08-09,2023-1400810-0000950170-23-040540-hci-ex10_33.htm
0000950170-23-040540,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.35,10-Q,EX-10.35,https://www.sec.gov/Archives/edgar/data/1400810/000095017023040540/hci-ex10_35.htm,2023-08-09,2023-1400810-0000950170-23-040540-hci-ex10_35.htm
0001691421-23-000095,1691421,"Lemonade, Inc. (LMND, LMND-WT) (CIK 0001691421)",LMND,EX-10.6,10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/1691421/000169142123000095/exhibit106-wholeaccountquo.htm,2023-08-04,2023-1691421-0001691421-23-000095-exhibit106-wholeaccountquo.htm
0000950170-23-040540,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.30,10-Q,EX-10.30,https://www.sec.gov/Archives/edgar/data/1400810/000095017023040540/hci-ex10_30.htm,2023-08-09,2023-1400810-0000950170-23-040540-hci-ex10_30.htm
0000950170-23-040540,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.26,10-Q,EX-10.26,https://www.sec.gov/Archives/edgar/data/1400810/000095017023040540/hci-ex10_26.htm,2023-08-09,2023-1400810-0000950170-23-040540-hci-ex10_26.htm
0000950170-23-040540,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.25,10-Q,EX-10.25,https://www.sec.gov/Archives/edgar/data/1400810/000095017023040540/hci-ex10_25.htm,2023-08-09,2023-1400810-0000950170-23-040540-hci-ex10_25.htm
0000950170-23-040540,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.29,10-Q,EX-10.29,https://www.sec.gov/Archives/edgar/data/1400810/000095017023040540/hci-ex10_29.htm,2023-08-09,2023-1400810-0000950170-23-040540-hci-ex10_29.htm
0000950170-23-040540,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.34,10-Q,EX-10.34,https://www.sec.gov/Archives/edgar/data/1400810/000095017023040540/hci-ex10_34.htm,2023-08-09,2023-1400810-0000950170-23-040540-hci-ex10_34.htm
0001691421-23-000095,1691421,"Lemonade, Inc. (LMND, LMND-WT) (CIK 0001691421)",LMND,EX-10.5,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/1691421/000169142123000095/exhibit105-wholeaccountquo.htm,2023-08-04,2023-1691421-0001691421-23-000095-exhibit105-wholeaccountquo.htm
0001691421-23-000032,1691421,"Lemonade, Inc. (LMND, LMND-WT) (CIK 0001691421)",LMND,EX-10.37,10-K,EX-10.37,https://www.sec.gov/Archives/edgar/data/1691421/000169142123000032/lmndye22ex1037swissreperso.htm,2023-03-03,2023-1691421-0001691421-23-000032-lmndye22ex1037swissreperso.htm
0001691421-23-000095,1691421,"Lemonade, Inc. (LMND, LMND-WT) (CIK 0001691421)",LMND,EX-10.4,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1691421/000169142123000095/exhibit104-wholeaccountquo.htm,2023-08-04,2023-1691421-0001691421-23-000095-exhibit104-wholeaccountquo.htm
