accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename
0000950123-11-015792,1044566,CNA SURETY CORP (CIK 0001044566),,EX-10.52,10-K,EX-10.52,https://www.sec.gov/Archives/edgar/data/1044566/000095012311015792/c62181exv10w52.htm,2011-02-18,2011-1044566-0000950123-11-015792-c62181exv10w52.htm
0000950123-11-015792,1044566,CNA SURETY CORP (CIK 0001044566),,EX-10.51,10-K,EX-10.51,https://www.sec.gov/Archives/edgar/data/1044566/000095012311015792/c62181exv10w51.htm,2011-02-18,2011-1044566-0000950123-11-015792-c62181exv10w51.htm
0001144204-11-044413,1412100,"Maiden Holdings, Ltd. (MHLA, MHLD, MHNC) (CIK 0001412100)",MHLD,EXHIBIT 10.4,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1412100/000114420411044413/v228882_ex10-4.htm,2011-08-08,2011-1412100-0001144204-11-044413-v228882_ex10-4.htm
0001140361-11-053104,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1069996/000114036111053104/ex10_3.htm,2011-11-14,2011-1069996-0001140361-11-053104-ex10_3.htm
0001144204-11-044020,1365555,"Amtrust Financial Services, Inc. (CIK 0001365555)",,"QUOTA SHARE REINSURANCE AGREEMENT, DATED APRIL 1, 2011",10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1365555/000114420411044020/v230249_ex10-3.htm,2011-08-04,2011-1365555-0001144204-11-044020-v230249_ex10-3.htm
0001140361-11-053104,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.5,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/1069996/000114036111053104/ex10_5.htm,2011-11-14,2011-1069996-0001140361-11-053104-ex10_5.htm
0001140361-11-053104,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.4,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1069996/000114036111053104/ex10_4.htm,2011-11-14,2011-1069996-0001140361-11-053104-ex10_4.htm
0001140361-11-053104,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1069996/000114036111053104/ex10_1.htm,2011-11-14,2011-1069996-0001140361-11-053104-ex10_1.htm
0001104659-11-062109,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EX-10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1172052/000110465911062109/a11-25737_1ex10d3.htm,2011-11-08,2011-1172052-0001104659-11-062109-a11-25737_1ex10d3.htm
0001140361-11-053104,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1069996/000114036111053104/ex10_2.htm,2011-11-14,2011-1069996-0001140361-11-053104-ex10_2.htm
