accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0001346922-14-000013,1346922,Homeowners of America Holding Corp (CIK 0001346922),,EXHIBIT 10.6,10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/1346922/000134692214000013/ex_10-6.htm,2014-08-14,2014-1346922-0001346922-14-000013-ex_10-6.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Property
0001401521-14-000008,1401521,UNITED INSURANCE HOLDINGS CORP. (ACIC) (CIK 0001401521),ACIC,EXHIBIT,10-K,EX-10.14,https://www.sec.gov/Archives/edgar/data/1401521/000140152114000008/exh1014perriskreinsurancec.htm,2014-02-24,2014-1401521-0001401521-14-000008-exh1014perriskreinsurancec.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001193125-14-298331,1598665,"Heritage Insurance Holdings, Inc. (HRTG) (CIK 0001598665)",HRTG,CONTRACT,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/1598665/000119312514298331/d743593dex105.htm,2014-08-06,2014-1598665-0001193125-14-298331-d743593dex105.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001193125-14-298331,1598665,"Heritage Insurance Holdings, Inc. (HRTG) (CIK 0001598665)",HRTG,CONTRACT,10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/1598665/000119312514298331/d743593dex106.htm,2014-08-06,2014-1598665-0001193125-14-298331-d743593dex106.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001193125-14-298331,1598665,"Heritage Insurance Holdings, Inc. (HRTG) (CIK 0001598665)",HRTG,CONTRACT,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1598665/000119312514298331/d743593dex103.htm,2014-08-06,2014-1598665-0001193125-14-298331-d743593dex103.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001193125-14-298331,1598665,"Heritage Insurance Holdings, Inc. (HRTG) (CIK 0001598665)",HRTG,CONTRACT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1598665/000119312514298331/d743593dex101.htm,2014-08-06,2014-1598665-0001193125-14-298331-d743593dex101.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001346922-14-000013,1346922,Homeowners of America Holding Corp (CIK 0001346922),,EXHIBIT 10.4,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1346922/000134692214000013/ex_10-4.htm,2014-08-14,2014-1346922-0001346922-14-000013-ex_10-4.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0001346922-14-000013,1346922,Homeowners of America Holding Corp (CIK 0001346922),,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1346922/000134692214000013/ex_10-1.htm,2014-08-14,2014-1346922-0001346922-14-000013-ex_10-1.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001193125-14-298331,1598665,"Heritage Insurance Holdings, Inc. (HRTG) (CIK 0001598665)",HRTG,CONTRACT,10-Q,EX-10.17,https://www.sec.gov/Archives/edgar/data/1598665/000119312514298331/d743593dex1017.htm,2014-08-06,2014-1598665-0001193125-14-298331-d743593dex1017.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001346922-14-000020,1346922,Homeowners of America Holding Corp (CIK 0001346922),,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1346922/000134692214000020/ex_10-1.htm,2014-11-14,2014-1346922-0001346922-14-000020-ex_10-1.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
