accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0000950137-07-002527,1044566,CNA SURETY CORP (CIK 0001044566),,QUOTA SHARE TREATY,10-K,EX-10.38,https://www.sec.gov/Archives/edgar/data/1044566/000095013707002527/c12434exv10w38.htm,2007-02-21,2007-1044566-0000950137-07-002527-c12434exv10w38.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,EXCESS CATASTROPHE REINSURANCE CONTRACT,10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w6.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w6.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950123-07-002942,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,EX-10.62: CASUALTY AND SPECIALTY QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.62,https://www.sec.gov/Archives/edgar/data/1171500/000095012307002942/y30953exv10w62.txt,2007-02-28,2007-1171500-0000950123-07-002942-y30953exv10w62.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,THIRD EXCESS REINSTATEMENT PREMIUM PROTECTION,10-Q,EX-10.10,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w10.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w10.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001193125-07-108045,743532,ALFA CORP (CIK 0000743532),,THIRD AMENDMENT TO POOLING AGREEMENT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/743532/000119312507108045/dex101.htm,2007-05-09,2007-743532-0001193125-07-108045-dex101.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,FLORIDA ONLY EXCESS CATASTROPHE REINSURANCE CONTRACT,10-Q,EX-10.8,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w8.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w8.htm,gemini-2.0-flash,,,,,
0000950134-07-004806,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,FORM OF FIRST CASUALTY EXCESS OF LOSS REINSURANCE CONTRACT,10-K,EX-10.21,https://www.sec.gov/Archives/edgar/data/1018979/000095013407004806/d43179exv10w21.txt,2007-03-05,2007-1018979-0000950134-07-004806-d43179exv10w21.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950134-07-017324,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,FIRST CASUALTY EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1018979/000095013407017324/d48774exv10w1.txt,2007-08-08,2007-1018979-0000950134-07-017324-d48774exv10w1.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950134-07-004806,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,FORM OF THIRD AND FOURTH CASUALTY CATASTROPHE EXCESS OF LOSS REINSURANCE CONTRACT,10-K,EX-10.24,https://www.sec.gov/Archives/edgar/data/1018979/000095013407004806/d43179exv10w24.txt,2007-03-05,2007-1018979-0000950134-07-004806-d43179exv10w24.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950134-07-017324,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,THIRD CASUALTY CATASTROPHE EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1018979/000095013407017324/d48774exv10w4.txt,2007-08-08,2007-1018979-0000950134-07-017324-d48774exv10w4.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950134-07-004806,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,FORM OF SECOND CASUALTY EXCESS OF LOSS REINSURANCE CONTRACT,10-K,EX-10.22,https://www.sec.gov/Archives/edgar/data/1018979/000095013407004806/d43179exv10w22.txt,2007-03-05,2007-1018979-0000950134-07-004806-d43179exv10w22.txt,gemini-2.0-flash,,,,,
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,FIRST AND SECOND EXCESS REINSTATEMENT PREMIUM PROTECTION REINSURANCE CONTRACT,10-Q,EX-10.9,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w9.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w9.htm,gemini-2.0-flash,,,,,
0000950134-07-017324,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,SECOND CASUALTY EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1018979/000095013407017324/d48774exv10w2.txt,2007-08-08,2007-1018979-0000950134-07-017324-d48774exv10w2.txt,gemini-2.0-flash,,,,,
0000950134-07-017324,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,FIRST AND SECOND CASUALTY CATASTROPHE EXESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1018979/000095013407017324/d48774exv10w3.txt,2007-08-08,2007-1018979-0000950134-07-017324-d48774exv10w3.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950134-07-004806,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,FORM OF FIRST AND SECOND CASUALTY CATASTROPHE EXCESS OF LOSS REINSURANCE CONTRACT,10-K,EX-10.23,https://www.sec.gov/Archives/edgar/data/1018979/000095013407004806/d43179exv10w23.txt,2007-03-05,2007-1018979-0000950134-07-004806-d43179exv10w23.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000921895-07-000722,1009667,AMCOMP INC /FL (CIK 0001009667),,,10-K,EX-10.52,https://www.sec.gov/Archives/edgar/data/1009667/000092189507000722/ex1052to10k03581_12312006.htm,2007-04-02,2007-1009667-0000921895-07-000722-ex1052to10k03581_12312006.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,REINSTATEMENT PREMIUM PROTECTION REINSURANCE,10-Q,EX-10.7,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w7.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w7.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0001104659-07-015599,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EX-10.29,10-K,EX-10.29,https://www.sec.gov/Archives/edgar/data/1172052/000110465907015599/a07-5798_1ex10d29.htm,2007-03-01,2007-1172052-0001104659-07-015599-a07-5798_1ex10d29.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001104659-07-015599,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EX-10.30,10-K,EX-10.30,https://www.sec.gov/Archives/edgar/data/1172052/000110465907015599/a07-5798_1ex10d30.htm,2007-03-01,2007-1172052-0001104659-07-015599-a07-5798_1ex10d30.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0000893220-07-001699,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,FLORIDA ONLY EXCESS CATASTROPHE REINSURANCE CONTRACT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/909109/000089322007001699/w34363exv10w1.txt,2007-05-07,2007-909109-0000893220-07-001699-w34363exv10w1.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001047469-07-008859,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EXHIBIT 10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1172052/000104746907008859/a2180777zex-10_3.htm,2007-11-09,2007-1172052-0001047469-07-008859-a2180777zex-10_3.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0000893220-07-001699,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,PROPERTY FOURTH PER RISK EXCESS OF LOSS REINSURANCE AGREEMENT,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/909109/000089322007001699/w34363exv10w4.txt,2007-05-07,2007-909109-0000893220-07-001699-w34363exv10w4.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000893220-07-001699,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,CASUALTY EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/909109/000089322007001699/w34363exv10w2.txt,2007-05-07,2007-909109-0000893220-07-001699-w34363exv10w2.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950123-07-007240,1163348,ALLIED WORLD ASSURANCE CO HOLDINGS LTD (CIK 0001163348),,EX-10.6: FORM OF CASUALTY VARIABLE QUOTA SHARE REINSURANCE AGREEMENT,10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/1163348/000095012307007240/y34900exv10w6.htm,2007-05-11,2007-1163348-0000950123-07-007240-y34900exv10w6.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Casualty
0001047469-07-008859,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1172052/000104746907008859/a2180777zex-10_1.htm,2007-11-09,2007-1172052-0001047469-07-008859-a2180777zex-10_1.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000926236-07-000025,819913,HALLMARK FINANCIAL SERVICES INC (HALL) (CIK 0000819913),HALL,AMENDMENT NO. 3 TO QUOTA SHARE REINSURANCE TREATY,10-K,EX-10.28,https://www.sec.gov/Archives/edgar/data/819913/000092623607000025/exh10-28.htm,2007-03-22,2007-819913-0000926236-07-000025-exh10-28.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-07-000511,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,"EXCESS CATASTROPHE REINSURANCE CONTRACT EFFECTIVE JUNE 1, 2006",10-K,EX-10.97,https://www.sec.gov/Archives/edgar/data/909109/000089322007000511/w30836exv10w97.txt,2007-02-28,2007-909109-0000893220-07-000511-w30836exv10w97.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0000921895-07-000722,1009667,AMCOMP INC /FL (CIK 0001009667),,,10-K,EX-10.51,https://www.sec.gov/Archives/edgar/data/1009667/000092189507000722/ex1051to10k03581_12312006.htm,2007-04-02,2007-1009667-0000921895-07-000722-ex1051to10k03581_12312006.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001193125-07-054650,743532,ALFA CORP (CIK 0000743532),,FIRST AMENDMENT POOLING AGREEMENT,10-K,EX-10.(A),https://www.sec.gov/Archives/edgar/data/743532/000119312507054650/dex10a.htm,2007-03-14,2007-743532-0001193125-07-054650-dex10a.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0001157523-07-011256,1360537,"CastlePoint Holdings, Ltd. (CIK 0001360537)",,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1360537/000115752307011256/a5546013ex10-1.txt,2007-11-14,2007-1360537-0001157523-07-011256-a5546013ex10-1.txt,gemini-2.0-flash,No,Non-Life,NA,NA,Specialty
0001157523-07-011056,1289592,"Tower Group, Inc. (CIK 0001289592)",,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1289592/000115752307011056/a5541084ex10_1.htm,2007-11-09,2007-1289592-0001157523-07-011056-a5541084ex10_1.htm,gemini-2.0-flash,No,Non-Life,NA,NA,NA
0000950137-07-004899,915781,RTW INC /MN/ (CIK 0000915781),,DESCRIPTION OF THE REINSURANCE AGREEMENT FOR 2007,10-K,EX-10.16,https://www.sec.gov/Archives/edgar/data/915781/000095013707004899/c13665exv10w16.htm,2007-03-30,2007-915781-0000950137-07-004899-c13665exv10w16.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950124-07-004156,1171218,NORTH POINTE HOLDINGS CORP (CIK 0001171218),,STOCK PURCHASE AGREEMENT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1171218/000095012407004156/k17331exv10w1.htm,2007-08-10,2007-1171218-0000950124-07-004156-k17331exv10w1.htm,gemini-2.0-flash,No,Non-Life,NA,NA,Specialty
0000950124-07-005808,1171218,NORTH POINTE HOLDINGS CORP (CIK 0001171218),,STOCK PURCHASE AGREEMENT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1171218/000095012407005808/k21273exv10w1.htm,2007-11-13,2007-1171218-0000950124-07-005808-k21273exv10w1.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0001104659-07-060912,1273813,ASSURED GUARANTY LTD (AGO) (CIK 0001273813),AGO,EX-10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1273813/000110465907060912/a07-19149_1ex10d2.htm,2007-08-09,2007-1273813-0001104659-07-060912-a07-19149_1ex10d2.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,PROPERTY PER RISK EXCESS OF LOSS AGREEMENT,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w2.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w2.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001047469-07-008859,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1172052/000104746907008859/a2180777zex-10_2.htm,2007-11-09,2007-1172052-0001047469-07-008859-a2180777zex-10_2.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950128-07-000016,922621,ERIE INDEMNITY CO (ERIE) (CIK 0000922621),ERIE,EX-10.88,10-K,EX-10.88,https://www.sec.gov/Archives/edgar/data/922621/000095012807000016/l24094aexv10w88.htm,2007-02-26,2007-922621-0000950128-07-000016-l24094aexv10w88.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000950128-07-000016,922621,ERIE INDEMNITY CO (ERIE) (CIK 0000922621),ERIE,EX-10.89,10-K,EX-10.89,https://www.sec.gov/Archives/edgar/data/922621/000095012807000016/l24094aexv10w89.htm,2007-02-26,2007-922621-0000950128-07-000016-l24094aexv10w89.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-07-007240,1163348,ALLIED WORLD ASSURANCE CO HOLDINGS LTD (CIK 0001163348),,EX-10.7: HEALTHCARE LIABILITY QUOTA SHARE REINSURANCE CONTRACT,10-Q,EX-10.7,https://www.sec.gov/Archives/edgar/data/1163348/000095012307007240/y34900exv10w7.htm,2007-05-11,2007-1163348-0000950123-07-007240-y34900exv10w7.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,INTEREST AND LIABILITIES AGREEMENT,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w3.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w3.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0000909567-07-001019,1137048,ODYSSEY RE HOLDINGS CORP (CIK 0001137048),,EX-10.33,10-Q,EX-10.33,https://www.sec.gov/Archives/edgar/data/1137048/000090956707001019/o37273exv10w33.htm,2007-08-08,2007-1137048-0000909567-07-001019-o37273exv10w33.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0001047469-07-008859,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EXHIBIT 10.4,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1172052/000104746907008859/a2180777zex-10_4.htm,2007-11-09,2007-1172052-0001047469-07-008859-a2180777zex-10_4.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001104659-07-015599,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EX-10.34,10-K,EX-10.34,https://www.sec.gov/Archives/edgar/data/1172052/000110465907015599/a07-5798_1ex10d34.htm,2007-03-01,2007-1172052-0001104659-07-015599-a07-5798_1ex10d34.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0001104659-07-015599,1172052,SAFETY INSURANCE GROUP INC (SAFT) (CIK 0001172052),SAFT,EX-10.31,10-K,EX-10.31,https://www.sec.gov/Archives/edgar/data/1172052/000110465907015599/a07-5798_1ex10d31.htm,2007-03-01,2007-1172052-0001104659-07-015599-a07-5798_1ex10d31.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Casualty
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,TERRORISM CATASTROPHE EXCESS OF LOSS REINSURANCE CONTRACT - 20% SHARE,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w5.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w5.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0001104659-07-018300,1039828,"AMERICAN EQUITY INVESTMENT LIFE HOLDING CO (ANG-PA, ANG-PB) (CIK 0001039828)",ANG.PB,EX-10.25,10-K,EX-10.25,https://www.sec.gov/Archives/edgar/data/1039828/000110465907018300/a07-2161_1ex10d25.htm,2007-03-13,2007-1039828-0001104659-07-018300-a07-2161_1ex10d25.htm,gemini-2.0-flash,No,Life,NA,NA,Life
0000893220-07-003552,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,TERRORISM CATASTROPHE EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/909109/000089322007003552/w41777exv10w4.htm,2007-11-06,2007-909109-0000893220-07-003552-w41777exv10w4.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950128-07-000016,922621,ERIE INDEMNITY CO (ERIE) (CIK 0000922621),ERIE,EX-10.90,10-K,EX-10.90,https://www.sec.gov/Archives/edgar/data/922621/000095012807000016/l24094aexv10w90.htm,2007-02-26,2007-922621-0000950128-07-000016-l24094aexv10w90.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Casualty
0001193125-07-043888,850141,HORACE MANN EDUCATORS CORP /DE/ (HMN) (CIK 0000850141),HMN,AMENDED & RESTATED CREDIT AGREEMENT,10-K,EX-10.1,https://www.sec.gov/Archives/edgar/data/850141/000119312507043888/dex101.htm,2007-03-01,2007-850141-0001193125-07-043888-dex101.htm,gemini-2.0-flash,No,NA,NA,NA,NA
0001193125-07-056001,1013609,SCPIE HOLDINGS INC (CIK 0001013609),,FIRST-THIRD EXCESS OF LOSS REINSURANCE CONTRACT,10-K,EX-10.89,https://www.sec.gov/Archives/edgar/data/1013609/000119312507056001/dex1089.htm,2007-03-16,2007-1013609-0001193125-07-056001-dex1089.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
