accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0001535929-21-000025,1535929,"Voya Financial, Inc. (VOYA, VOYA-PB) (CIK 0001535929)",VOYA,EX-10.20,10-K,EX-10.20,https://www.sec.gov/Archives/edgar/data/1535929/000153592921000025/a2020q4voyaex1020.htm,2021-03-01,2021-1535929-0001535929-21-000025-a2020q4voyaex1020.htm,gemini-2.0-flash,Yes,Life,Treaty,Proportional,Specialty
0001535929-21-000025,1535929,"Voya Financial, Inc. (VOYA, VOYA-PB) (CIK 0001535929)",VOYA,EX-10.22,10-K,EX-10.22,https://www.sec.gov/Archives/edgar/data/1535929/000153592921000025/a2020q4voyaex1022.htm,2021-03-01,2021-1535929-0001535929-21-000025-a2020q4voyaex1022.htm,gemini-2.0-flash,Yes,Life,Treaty,Proportional,Life
0001535929-21-000025,1535929,"Voya Financial, Inc. (VOYA, VOYA-PB) (CIK 0001535929)",VOYA,EX-10.21,10-K,EX-10.21,https://www.sec.gov/Archives/edgar/data/1535929/000153592921000025/a2020q4voyaex1021.htm,2021-03-01,2021-1535929-0001535929-21-000025-a2020q4voyaex1021.htm,gemini-2.0-flash,Yes,Life,Treaty,Proportional,Life
0001069996-21-000098,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.6,10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000098/exhibit106.htm,2021-05-06,2021-1069996-0001069996-21-000098-exhibit106.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-21-000098,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.5,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000098/exhibit105.htm,2021-05-06,2021-1069996-0001069996-21-000098-exhibit105.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-21-000098,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.7,10-Q,EX-10.7,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000098/exhibit107.htm,2021-05-06,2021-1069996-0001069996-21-000098-exhibit107.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-21-000098,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.8,10-Q,EX-10.8,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000098/exhibit108.htm,2021-05-06,2021-1069996-0001069996-21-000098-exhibit108.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-21-000098,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000098/exhibit101.htm,2021-05-06,2021-1069996-0001069996-21-000098-exhibit101.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-21-000138,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.7,10-Q,EX-10.7,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000138/exhibit107xq321.htm,2021-11-09,2021-1069996-0001069996-21-000138-exhibit107xq321.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-21-000138,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.34,10-Q,EX-10.34,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000138/exhibit1034xq321.htm,2021-11-09,2021-1069996-0001069996-21-000138-exhibit1034xq321.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
