accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0001125282-04-005563,1091748,"PXRE GROUP LTD (ARGD, ARGO-PA) (CIK 0001091748)",ARGD,COMMUTATION AGREEMENT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1091748/000112528204005563/b401875_ex10-1.txt,2004-11-05,2004-1091748-0001125282-04-005563-b401875_ex10-1.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950123-04-009346,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,QUOTA SHARE RETROCESSION AGREEMENT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1171500/000095012304009346/y99708exv10w1.txt,2004-08-06,2004-1171500-0000950123-04-009346-y99708exv10w1.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0001125282-04-002027,1091748,"PXRE GROUP LTD (ARGD, ARGO-PA) (CIK 0001091748)",ARGD,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1091748/000112528204002027/b331686ex_10-2.txt,2004-05-07,2004-1091748-0001125282-04-002027-b331686ex_10-2.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Casualty
0000950123-04-003320,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,REFERRAL AGREEMENT,10-K,EX-10.80,https://www.sec.gov/Archives/edgar/data/1171500/000095012304003320/y92990exv10w80.txt,2004-03-15,2004-1171500-0000950123-04-003320-y92990exv10w80.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Casualty
0001116502-04-000824,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,SHARE TREATY,10-K,EX-10.28,https://www.sec.gov/Archives/edgar/data/1069996/000111650204000824/sharetreaty-1028.txt,2004-04-02,2004-1069996-0001116502-04-000824-sharetreaty-1028.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Casualty
0001116502-04-000824,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,SHARE TREATY,10-K,EX-10.29,https://www.sec.gov/Archives/edgar/data/1069996/000111650204000824/sharetreaty-1029.txt,2004-04-02,2004-1069996-0001116502-04-000824-sharetreaty-1029.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Casualty
0001047469-04-009526,839759,ALLSTATE LIFE INSURANCE CO OF NEW YORK (CIK 0000839759),,EXHIBIT 10.16,10-K,EX-10.16,https://www.sec.gov/Archives/edgar/data/839759/000104746904009526/a2131802zex-10_16.txt,2004-03-26,2004-839759-0001047469-04-009526-a2131802zex-10_16.txt,gpt-4o-mini,Yes,Life,Treaty,Non-Proportional,Life
0001169232-04-003950,1010247,FPIC INSURANCE GROUP INC (CIK 0001010247),,MEDICAL PROF. LIABILITY EXCSS LOSS,10-Q,EX-10.XXX,https://www.sec.gov/Archives/edgar/data/1010247/000116923204003950/d60263_ex10xxx.htm,2004-08-06,2004-1010247-0001169232-04-003950-d60263_ex10xxx.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000893220-04-000425,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,WHOLE ACCOUNT NET QUOTA SHARE REINSURANCE CONTRACT,10-K,EX-10.64,https://www.sec.gov/Archives/edgar/data/909109/000089322004000425/w94906exv10w64.txt,2004-03-12,2004-909109-0000893220-04-000425-w94906exv10w64.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Casualty
0001193125-04-040912,896159,ACE LTD (CB) (CIK 0000896159),CB,AMENDED AND RESTATED CREDIT AGREEMENT,10-K,EX-10.17.3,https://www.sec.gov/Archives/edgar/data/896159/000119312504040912/dex10173.htm,2004-03-15,2004-896159-0001193125-04-040912-dex10173.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950137-04-001889,1044566,CNA SURETY CORP (CIK 0001044566),,FORM OF SURETY EXCESS OF LOSS,10-K,EX-10.14,https://www.sec.gov/Archives/edgar/data/1044566/000095013704001889/c83733exv10w14.txt,2004-03-15,2004-1044566-0000950137-04-001889-c83733exv10w14.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950137-04-001889,1044566,CNA SURETY CORP (CIK 0001044566),,FORM OF SURETY EXCESS OF LOSS,10-K,EX-10.11,https://www.sec.gov/Archives/edgar/data/1044566/000095013704001889/c83733exv10w11.txt,2004-03-15,2004-1044566-0000950137-04-001889-c83733exv10w11.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001193125-04-089612,1065201,AMERINST INSURANCE GROUP LTD (CIK 0001065201),,REINSURANCE TREATY,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1065201/000119312504089612/dex101.htm,2004-05-17,2004-1065201-0001193125-04-089612-dex101.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-04-006012,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,EXCESS OF LOSS RETROCESSION AGREEMENT,10-Q,EX-10.8,https://www.sec.gov/Archives/edgar/data/1171500/000095012304006012/y97104exv10w8.txt,2004-05-10,2004-1171500-0000950123-04-006012-y97104exv10w8.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001193125-04-089612,1065201,AMERINST INSURANCE GROUP LTD (CIK 0001065201),,VALUE PLAN REINSURANCE TREATY,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1065201/000119312504089612/dex102.htm,2004-05-17,2004-1065201-0001193125-04-089612-dex102.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-04-002402,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,CASUALTY AUTOMATIC FACULTATIVE CERTIFICATE,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/909109/000089322004002402/w68436exv10w5.txt,2004-11-08,2004-909109-0000893220-04-002402-w68436exv10w5.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-04-006012,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,QUOTA SHARE RETROCESSION AGREEMENT,10-Q,EX-10.18,https://www.sec.gov/Archives/edgar/data/1171500/000095012304006012/y97104exv10w18.txt,2004-05-10,2004-1171500-0000950123-04-006012-y97104exv10w18.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950137-04-001889,1044566,CNA SURETY CORP (CIK 0001044566),,FORM OF SURETY EXCESS OF LOSS,10-K,EX-10.13,https://www.sec.gov/Archives/edgar/data/1044566/000095013704001889/c83733exv10w13.txt,2004-03-15,2004-1044566-0000950137-04-001889-c83733exv10w13.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001193125-04-135366,740125,OVERSEAS PARTNERS LTD (CIK 0000740125),,SETTLEMENT AGREEMENT,10-Q,EX-10.(A),https://www.sec.gov/Archives/edgar/data/740125/000119312504135366/dex10a.htm,2004-08-09,2004-740125-0001193125-04-135366-dex10a.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-04-009177,775368,ALLEGHANY CORP /DE (CIK 0000775368),Y,ASSIGNMENT OF REINSURANCE RECOVERABLES,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/775368/000095012304009177/y99697exv10w3.txt,2004-08-03,2004-775368-0000950123-04-009177-y99697exv10w3.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-04-000425,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,EXCESS OF LOSS REINSURANCE PHUB015555,10-K,EX-10.59,https://www.sec.gov/Archives/edgar/data/909109/000089322004000425/w94906exv10w59.txt,2004-03-12,2004-909109-0000893220-04-000425-w94906exv10w59.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Casualty
0000893220-04-000425,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,EXCESS OF LOSS REINSURANCE PHUB015557,10-K,EX-10.60,https://www.sec.gov/Archives/edgar/data/909109/000089322004000425/w94906exv10w60.txt,2004-03-12,2004-909109-0000893220-04-000425-w94906exv10w60.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Casualty
0000947354-04-000002,947354,GE GLOBAL INSURANCE HOLDING CORP (CIK 0000947354),,EXHIBIT 10.3,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/947354/000094735404000002/exhibit10_3.txt,2004-03-02,2004-947354-0000947354-04-000002-exhibit10_3.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000318673-04-000010,318673,SECURITY NATIONAL FINANCIAL CORP (SNFCA) (CIK 0000318673),SNFCA,GUARANTY INCOME LIFE REINSURANCE AGREEMENT,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/318673/000031867304000010/gilcore.txt,2004-03-30,2004-318673-0000318673-04-000010-gilcore.txt,gpt-4o-mini,Yes,Life,Treaty,Proportional,Life
0000947354-04-000002,947354,GE GLOBAL INSURANCE HOLDING CORP (CIK 0000947354),,EXHIBIT 10.1,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/947354/000094735404000002/exhibit10_1.txt,2004-03-02,2004-947354-0000947354-04-000002-exhibit10_1.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000893220-04-000425,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,NON FLORIDA EXCESS CATASTROPHE REINSURANCE,10-K,EX-10.61,https://www.sec.gov/Archives/edgar/data/909109/000089322004000425/w94906exv10w61.txt,2004-03-12,2004-909109-0000893220-04-000425-w94906exv10w61.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000947354-04-000002,947354,GE GLOBAL INSURANCE HOLDING CORP (CIK 0000947354),,EXHIBIT 10.2,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/947354/000094735404000002/exhibit10_2.txt,2004-03-02,2004-947354-0000947354-04-000002-exhibit10_2.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0000950152-04-008146,803027,MERCHANTS GROUP INC (CIK 0000803027),,EX-10.G PROPERTY CATASTROPHE EXCESS OF LOSS REINSURANCE AGMNT,10-Q,EX-10.G,https://www.sec.gov/Archives/edgar/data/803027/000095015204008146/l09971aexv10wg.txt,2004-11-10,2004-803027-0000950152-04-008146-l09971aexv10wg.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001125282-04-002027,1091748,"PXRE GROUP LTD (ARGD, ARGO-PA) (CIK 0001091748)",ARGD,EXHIBIT 10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1091748/000112528204002027/b331686ex_10-3.txt,2004-05-07,2004-1091748-0001125282-04-002027-b331686ex_10-3.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001047469-04-009521,352736,ALLSTATE LIFE INSURANCE CO (CIK 0000352736),,EXHIBIT 10.29,10-K,EX-10.29,https://www.sec.gov/Archives/edgar/data/352736/000104746904009521/a2131698zex-10_29.txt,2004-03-26,2004-352736-0001047469-04-009521-a2131698zex-10_29.txt,gpt-4o-mini,Yes,Life,Treaty,Non-Proportional,Life
0000893220-04-002402,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,CASUALTY EXCESS OF LOSS REINSURANCE CONTRACT,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/909109/000089322004002402/w68436exv10w2.txt,2004-11-08,2004-909109-0000893220-04-002402-w68436exv10w2.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Casualty
0000950123-04-006012,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,PROPERTY CATASTROPHE EXCESS OF LOSS REINS CONTRACT,10-Q,EX-10.15,https://www.sec.gov/Archives/edgar/data/1171500/000095012304006012/y97104exv10w15.txt,2004-05-10,2004-1171500-0000950123-04-006012-y97104exv10w15.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Property
0000950123-04-006012,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,PROPERTY CATASTROPHE EXCESS OF LOSS REINS CONTRACT,10-Q,EX-10.16,https://www.sec.gov/Archives/edgar/data/1171500/000095012304006012/y97104exv10w16.txt,2004-05-10,2004-1171500-0000950123-04-006012-y97104exv10w16.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950159-04-000965,910110,PENN AMERICA GROUP INC (CIK 0000910110),,EXHIBIT 10.10,10-Q,EX-10,https://www.sec.gov/Archives/edgar/data/910110/000095015904000965/exhibit10-10.txt,2004-11-05,2004-910110-0000950159-04-000965-exhibit10-10.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
