accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0001193125-08-093491,354190,GALLAGHER ARTHUR J & CO (AJG) (CIK 0000354190),AJG,ASSET PURCHASE AGREEMENT,10-Q,EX-10.44,https://www.sec.gov/Archives/edgar/data/354190/000119312508093491/dex1044.htm,2008-04-29,2008-354190-0001193125-08-093491-dex1044.htm,gpt-4o-mini,Yes,Non-Life,Treaty,NA,Property
0001047469-08-001829,1140536,WILLIS GROUP HOLDINGS LTD (WTW) (CIK 0001140536),WTW,EXHIBIT 10.28,10-K,EX-10.28,https://www.sec.gov/Archives/edgar/data/1140536/000104746908001829/a2182840zex-10_28.htm,2008-02-27,2008-1140536-0001047469-08-001829-a2182840zex-10_28.htm,gpt-4o-mini,No,NA,NA,NA,NA
0001193125-08-187752,1400810,"Homeowners Choice, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EXCESS CATASTROPHE REINSURANCE CONTRACT,10-Q,EX-10.13,https://www.sec.gov/Archives/edgar/data/1400810/000119312508187752/dex1013.htm,2008-08-29,2008-1400810-0001193125-08-187752-dex1013.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001193125-08-058007,1282543,AFFIRMATIVE INSURANCE HOLDINGS INC (CIK 0001282543),,PRIVATE PASSENGER AUTOMOBILE QUOTA SHARE REINSURANCE CONTRACT,10-K,EX-10.18,https://www.sec.gov/Archives/edgar/data/1282543/000119312508058007/dex1018.htm,2008-03-17,2008-1282543-0001193125-08-058007-dex1018.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Casualty
0001193125-08-093491,354190,GALLAGHER ARTHUR J & CO (AJG) (CIK 0000354190),AJG,AGREEMENT FOR THE SALE AND PURCHASE OF CERTAIN ASSETS,10-Q,EX-10.45,https://www.sec.gov/Archives/edgar/data/354190/000119312508093491/dex1045.htm,2008-04-29,2008-354190-0001193125-08-093491-dex1045.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-08-007814,1064122,SCOTTISH RE GROUP LTD (CIK 0001064122),,EX-10.69: ING AGREEMENTS,10-K,EX-10.69,https://www.sec.gov/Archives/edgar/data/1064122/000095012308007814/y62727exv10w69.htm,2008-07-11,2008-1064122-0000950123-08-007814-y62727exv10w69.htm,gpt-4o-mini,Yes,Life,Treaty,Proportional,Life
0001193125-08-187752,1400810,"Homeowners Choice, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,REINSTATEMENT PREMIUM PROTECTION REINSURANCE CONTRACT,10-Q,EX-10.14,https://www.sec.gov/Archives/edgar/data/1400810/000119312508187752/dex1014.htm,2008-08-29,2008-1400810-0001193125-08-187752-dex1014.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-08-002262,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,"PROPERTY PER RISK EXCESS OF LOSS AGREEMENT OF REINSURANCE WITH GENERAL REINSURANCE CORPORATION EFFECTIVE JANUARY 1, 2008",10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/909109/000089322008002262/w64766exv10w3.htm,2008-08-05,2008-909109-0000893220-08-002262-w64766exv10w3.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000921895-08-000726,1009667,AMCOMP INC /FL (CIK 0001009667),,,10-K,EX-10.55,https://www.sec.gov/Archives/edgar/data/1009667/000092189508000726/ex1055to10k03581_12312007.htm,2008-03-06,2008-1009667-0000921895-08-000726-ex1055to10k03581_12312007.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Casualty
0001193125-08-237008,1401521,UNITED INSURANCE HOLDINGS CORP. (ACIC) (CIK 0001401521),ACIC,FORM OF PRIVATE CATASTROPHE REINSURANCE AGMT,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1401521/000119312508237008/dex104.htm,2008-11-14,2008-1401521-0001193125-08-237008-dex104.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
