accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.143,10-Q,EX-10.143,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_143.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_143.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001691421-22-000055,1691421,"Lemonade, Inc. (LMND, LMND-WT) (CIK 0001691421)",LMND,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1691421/000169142122000055/lmnd-20220630xex101xpprexc.htm,2022-08-09,2022-1691421-0001691421-22-000055-lmnd-20220630xex101xpprexc.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.139,10-Q,EX-10.139,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_139.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_139.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.135,10-Q,EX-10.135,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_135.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_135.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.140,10-Q,EX-10.140,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_140.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_140.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.144,10-Q,EX-10.144,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_144.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_144.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.138,10-Q,EX-10.138,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_138.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_138.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.145,10-Q,EX-10.145,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_145.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_145.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.132,10-Q,EX-10.132,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_132.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_132.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.134,10-Q,EX-10.134,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_134.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_134.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001691421-22-000055,1691421,"Lemonade, Inc. (LMND, LMND-WT) (CIK 0001691421)",LMND,EX-10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1691421/000169142122000055/lmnd-20220630xex102xautoma.htm,2022-08-09,2022-1691421-0001691421-22-000055-lmnd-20220630xex102xautoma.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000913144-22-000099,913144,"RENAISSANCERE HOLDINGS LTD (RNR, RNR-PF, RNR-PG) (CIK 0000913144)",RNR,EX-10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/913144/000091314422000099/rnrfalthirdamendment.htm,2022-11-02,2022-913144-0000913144-22-000099-rnrfalthirdamendment.htm,gpt-4o-mini,No,Non-Life,NA,NA,Specialty
0001527469-22-000018,1527469,"Athene Holding Ltd (ATHS, ATH-PA, ATH-PB, ATH-PC, ATH-PD, ATH-PE) (CIK 0001527469)",ATH.PA,EX-10.25,10-K,EX-10.25,https://www.sec.gov/Archives/edgar/data/1527469/000152746922000018/q42021exhibit1025.htm,2022-02-25,2022-1527469-0001527469-22-000018-q42021exhibit1025.htm,gpt-4o-mini,Yes,Life,Treaty,Proportional,Life
0001628280-22-029243,1091748,"Argo Group International Holdings, Ltd. (ARGD, ARGO-PA) (CIK 0001091748)",ARGD,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1091748/000162828022029243/ex101a9302022.htm,2022-11-09,2022-1091748-0001628280-22-029243-ex101a9302022.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0001788882-22-000020,1788882,"Root, Inc. (ROOT) (CIK 0001788882)",ROOT,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1788882/000178888222000020/a101termloanagreementexecu.htm,2022-05-04,2022-1788882-0001788882-22-000020-a101termloanagreementexecu.htm,gpt-4o-mini,No,NA,NA,NA,NA
0001527469-22-000018,1527469,"Athene Holding Ltd (ATHS, ATH-PA, ATH-PB, ATH-PC, ATH-PD, ATH-PE) (CIK 0001527469)",ATH.PA,EX-10.24,10-K,EX-10.24,https://www.sec.gov/Archives/edgar/data/1527469/000152746922000018/q42021exhibit1024.htm,2022-02-25,2022-1527469-0001527469-22-000018-q42021exhibit1024.htm,gpt-4o-mini,Yes,Life,Treaty,Proportional,Life
0000950170-22-003351,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.127,10-K,EX-10.127,https://www.sec.gov/Archives/edgar/data/1400810/000095017022003351/hci-ex10_127.htm,2022-03-10,2022-1400810-0000950170-22-003351-hci-ex10_127.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Property
0001363829-22-000113,1363829,"Enstar Group LTD (ESGR, ESGRO, ESGRP) (CIK 0001363829)",ESGR,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1363829/000136382922000113/exhibit101.htm,2022-05-05,2022-1363829-0001363829-22-000113-exhibit101.htm,gpt-4o-mini,No,NA,NA,NA,NA
0000950170-22-003351,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.125,10-K,EX-10.125,https://www.sec.gov/Archives/edgar/data/1400810/000095017022003351/hci-ex10_125.htm,2022-03-10,2022-1400810-0000950170-22-003351-hci-ex10_125.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Casualty
0001095073-22-000005,1095073,EVEREST RE GROUP LTD (EG) (CIK 0001095073),EG,EXHIBIT 10.39,10-K,EX-10.39,https://www.sec.gov/Archives/edgar/data/1095073/000109507322000005/exhibit1039.htm,2022-02-28,2022-1095073-0001095073-22-000005-exhibit1039.htm,gpt-4o-mini,No,NA,NA,NA,NA
0001095073-22-000005,1095073,EVEREST RE GROUP LTD (EG) (CIK 0001095073),EG,EXHIBIT 10.40,10-K,EX-10.40,https://www.sec.gov/Archives/edgar/data/1095073/000109507322000005/exhibit1040.htm,2022-02-28,2022-1095073-0001095073-22-000005-exhibit1040.htm,gpt-4o-mini,No,NA,NA,NA,NA
0000950170-22-003351,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.126,10-K,EX-10.126,https://www.sec.gov/Archives/edgar/data/1400810/000095017022003351/hci-ex10_126.htm,2022-03-10,2022-1400810-0000950170-22-003351-hci-ex10_126.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.129,10-Q,EX-10.129,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_129.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_129.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.133,10-Q,EX-10.133,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_133.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_133.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.136,10-Q,EX-10.136,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_136.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_136.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.137,10-Q,EX-10.137,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_137.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_137.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.142,10-Q,EX-10.142,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_142.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_142.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0000950170-22-016021,1400810,"HCI Group, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EX-10.141,10-Q,EX-10.141,https://www.sec.gov/Archives/edgar/data/1400810/000095017022016021/hci-ex10_141.htm,2022-08-09,2022-1400810-0000950170-22-016021-hci-ex10_141.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
