accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0001069996-20-000011,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.9,10-K,EX-10.9,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000011/exhibit109-sagesureinsur.htm,2020-03-06,2020-1069996-0001069996-20-000011-exhibit109-sagesureinsur.htm,gpt-4o-mini,No,Non-Life,NA,NA,Property
0001069996-20-000050,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000050/exhibit101-fhcfreinsuran.htm,2020-05-06,2020-1069996-0001069996-20-000050-exhibit101-fhcfreinsuran.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001437749-20-010391,1463913,US Alliance Corp (CIK 0001463913),,EXHIBIT 10.12,10-Q,EX-10.12,https://www.sec.gov/Archives/edgar/data/1463913/000143774920010391/ex_183842.htm,2020-05-12,2020-1463913-0001437749-20-010391-ex_183842.htm,gpt-4o-mini,Yes,Life,Treaty,Proportional,Life
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.22,10-Q,EX-10.22,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1090redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1090redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.4,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1012redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1012redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001527469-20-000007,1527469,"Athene Holding Ltd (ATHS, ATH-PA, ATH-PB, ATH-PC, ATH-PD, ATH-PE) (CIK 0001527469)",ATH.PA,EXHIBIT 10.34,10-K,EX-10.34,https://www.sec.gov/Archives/edgar/data/1527469/000152746920000007/q42019exhibit1034.htm,2020-02-20,2020-1527469-0001527469-20-000007-q42019exhibit1034.htm,gpt-4o-mini,Yes,Life,Treaty,Proportional,Life
0001558370-20-006589,355379,MIDWEST HOLDING INC. (CIK 0000355379),MDWT,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/355379/000155837020006589/mdwt-20200331ex1013b300f.htm,2020-05-14,2020-355379-0001558370-20-006589-mdwt-20200331ex1013b300f.htm,gpt-4o-mini,Yes,Life,Treaty,Proportional,Life
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.24,10-Q,EX-10.24,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/exhibit10247v1101secondand.htm,2020-11-09,2020-1069996-0001069996-20-000094-exhibit10247v1101secondand.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.28,10-Q,EX-10.28,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1105redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1105redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.19,10-Q,EX-10.19,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1075redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1075redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.26,10-Q,EX-10.26,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1103redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1103redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.27,10-Q,EX-10.27,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1104redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1104redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.14,10-Q,EX-10.14,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1049redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1049redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.11,10-Q,EX-10.11,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1039redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1039redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.20,10-Q,EX-10.20,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1077redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1077redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.8,10-Q,EX-10.8,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1030redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1030redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.23,10-Q,EX-10.23,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1099redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1099redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1009redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1009redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.9,10-Q,EX-10.9,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1035redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1035redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.21,10-Q,EX-10.21,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1089redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1089redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.25,10-Q,EX-10.25,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1102redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1102redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.12,10-Q,EX-10.12,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1040redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1040redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.6,10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1027redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1027redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.15,10-Q,EX-10.15,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1051redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1051redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.7,10-Q,EX-10.7,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1028redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1028redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1011redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1011redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1001redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1001redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.16,10-Q,EX-10.16,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1054redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1054redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Non-Proportional,Property
0001069996-20-000094,1069996,FedNat Holding Co (CIK 0001069996),FNHC,EXHIBIT 10.17,10-Q,EX-10.17,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000094/f7v1055redacted.htm,2020-11-09,2020-1069996-0001069996-20-000094-f7v1055redacted.htm,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
